timestamp,month,hour,temperature_c,wind_kmh,solar_irradiance_wm2,demand_electrical_kw,demand_thermal_kw
2024-01-01 00:00:00,1,0,-4.606902278345843,20.512962521616057,0.0,181.36,62.46
2024-01-01 01:00:00,1,1,-6.688950763897931,30.664017806497796,0.0,178.88,67.68
2024-01-01 02:00:00,1,2,-2.6573294331399673,29.814515367431945,0.0,179.15,56.87
2024-01-01 03:00:00,1,3,2.5915235174344424,17.029595673185657,0.0,177.46,50.79
2024-01-01 04:00:00,1,4,-3.7851899392884216,27.323936441432792,0.0,180.07,60.65
2024-01-01 05:00:00,1,5,-6.677276621975407,26.162789143282865,0.0,179.77,67.63
2024-01-01 06:00:00,1,6,1.7111435188565958,32.37821521461585,0.0,181.29,45.23
2024-01-01 07:00:00,1,7,-3.431744097520225,22.674892220708912,163.1644016784924,180.53,60.85
2024-01-01 08:00:00,1,8,-3.0955038651532827,20.506900368720125,249.70454962447607,192.48,58.27
2024-01-01 09:00:00,1,9,-0.8220493048304727,33.56221236050594,437.9796342509708,192.93,53.58
2024-01-01 10:00:00,1,10,-4.461033666556036,29.369672114146336,580.1995753991653,188.47,63.12
2024-01-01 11:00:00,1,11,-5.672561803018882,28.54675713808255,594.3310891472984,189.18,61.63
2024-01-01 12:00:00,1,12,-2.20805509910675,34.190063776530266,537.8343636375614,190.42,56.05
2024-01-01 13:00:00,1,13,-7.139948261118494,30.201571156633502,742.3831995135664,192.22,71.39
2024-01-01 14:00:00,1,14,-1.1928861816819991,31.76593396261955,532.1476216085439,190.35,55.04
2024-01-01 15:00:00,1,15,-7.286077547059774,33.909871037562475,441.4998803628491,188.43,65.7
2024-01-01 16:00:00,1,16,-3.762107802992685,23.103078388238742,375.97880847983356,186.99,60.01
2024-01-01 17:00:00,1,17,-0.35806275441947255,20.365459063459745,178.3823717988749,189.42,54.31
2024-01-01 18:00:00,1,18,-6.301059782423755,27.928914361146155,6.60734265511106e-14,190.55,63.07
2024-01-01 19:00:00,1,19,-7.005502781095194,26.129649209596163,0.0,188.78,71.14
2024-01-01 20:00:00,1,20,-4.232265857077099,15.940782690573998,0.0,187.65,60.89
2024-01-01 21:00:00,1,21,1.0373790385393038,32.11443893761498,0.0,183.07,53.88
2024-01-01 22:00:00,1,22,-1.1267768662834505,24.5601571817216,0.0,176.28,52.69
2024-01-01 23:00:00,1,23,0.823572958243795,27.14553133529709,0.0,182.14,52.79
2024-01-02 00:00:00,1,0,-3.695065766669472,25.343576763170503,0.0,181.46,59.75
2024-01-02 01:00:00,1,1,-2.916962999881227,27.078631584107406,0.0,179.94,56.64
2024-01-02 02:00:00,1,2,-2.1807267151048526,25.247180577861347,0.0,177.41,53.08
2024-01-02 03:00:00,1,3,-0.6200037281697166,17.803794063068704,0.0,182.51,51.08
2024-01-02 04:00:00,1,4,-6.786685921253323,29.32045862196488,0.0,178.88,66.08
2024-01-02 05:00:00,1,5,-6.062959811190661,18.077388036500484,0.0,177.27,65.3
2024-01-02 06:00:00,1,6,1.0841778447445107,31.057010351860843,0.0,179.83,45.61
2024-01-02 07:00:00,1,7,0.20810935496926541,21.95164616846867,149.30223428059296,181.87,46.48
2024-01-02 08:00:00,1,8,2.6008861419546436,23.604929587694564,251.75237685874254,190.82,49.81
2024-01-02 09:00:00,1,9,-5.622206485831738,29.35373330486065,350.8564986304447,188.67,66.36
2024-01-02 10:00:00,1,10,-0.708936113835775,16.442096461298522,640.705956883601,230.44,50.58
2024-01-02 11:00:00,1,11,4.383559717868368,32.47361712439236,642.6806870420355,190.1,52.58
2024-01-02 12:00:00,1,12,-1.4292551916727576,15.085738574109488,564.0923079737831,189.98,53.24
